table_name,column_name,data_type,is_nullable,column_default
ai_bulls,id,bigint,NO,null
ai_bulls,operation_id,uuid,NO,null
ai_bulls,name,text,YES,null
ai_bulls,breed,text,YES,null
ai_bulls,tag,text,YES,null
ai_bulls,archived,boolean,YES,false
animal_classes,id,bigint,NO,null
animal_classes,operation_id,uuid,NO,null
animal_classes,name,text,NO,null
animal_classes,species,text,YES,null
animal_classes,archived,boolean,YES,false
animal_group_class_compositions,id,bigint,NO,null
animal_group_class_compositions,group_id,bigint,NO,null
animal_group_class_compositions,class_id,bigint,NO,null
animal_group_class_compositions,count,integer,NO,null
animal_group_class_compositions,effective_date,date,YES,null
animal_group_class_compositions,operation_id,uuid,NO,null
animal_group_memberships,id,bigint,NO,null
animal_group_memberships,group_id,bigint,NO,null
animal_group_memberships,animal_id,bigint,NO,null
animal_group_memberships,operation_id,uuid,NO,null
animal_group_memberships,date_joined,date,YES,null
animal_group_memberships,date_left,date,YES,null
animal_group_memberships,reason,text,YES,null
animal_groups,id,bigint,NO,null
animal_groups,operation_id,uuid,NO,null
animal_groups,name,text,NO,null
animal_groups,class_id,bigint,YES,null
animal_groups,color,text,YES,null
animal_groups,archived,boolean,YES,false
animal_groups,setup_updated_at,timestamp with time zone,YES,null
animal_health_events,id,bigint,NO,null
animal_health_events,animal_id,bigint,NO,null
animal_health_events,operation_id,uuid,NO,null
animal_health_events,type,text,NO,null
animal_health_events,date,date,YES,null
animal_health_events,bcs_score,integer,YES,null
animal_health_events,treatment_type_id,text,YES,null
animal_health_events,treatment_name,text,YES,null
animal_health_events,treatment_dose,numeric,YES,null
animal_health_events,treatment_unit,text,YES,null
animal_health_events,treatment_batch,text,YES,null
animal_health_events,withdrawal_date,date,YES,null
animal_health_events,breeding_subtype,text,YES,null
animal_health_events,ai_bull_id,bigint,YES,null
animal_health_events,bull_animal_id,bigint,YES,null
animal_health_events,sire_name,text,YES,null
animal_health_events,sire_reg_num,text,YES,null
animal_health_events,semen_id,text,YES,null
animal_health_events,ai_tech,text,YES,null
animal_health_events,expected_calving,date,YES,null
animal_health_events,calving_calf_id,bigint,YES,null
animal_health_events,calving_stillbirth,boolean,YES,null
